代號,名稱,年/月,報表別F/M,升降,TCRI,系統分級,APLr,MGT易手,炒股,庫藏股,CFO不一致,總分,ADE減分,規模,獲利,安全,效率
1434,福懋,2020/06,M,-,3,3 3,A,+,,,,636,,140,21,82,45
1435,中福,2020/06,M,-,7,8 8,AP,,,,,245,,,-8,100,-40
1436,華友聯,2020/06,M,-,8,9 9,APL,,,,+,-73,,31,43,-86,-5
1437,勤益控,2020/06,M,-,7,6 5,,+,,,,455,,6,54,67,79
1438,三地開發,2020/06,F,-,8,6 4,,+,,,,582,,1,107,100,-40
1439,中和,2020/06,M,-,6,6 6, P,+,,,,398,,1,-9,100,97
1440,南紡,2020/06,M,-,4,5 5,AP,+,,,,504,,129,-1,71,56
1441,大東,2020/06,M,-,8,9 9, P,,,,,-37,,13,-53,30,49
1442,名軒,2020/06,M,-,7,9 9, P,+,,,,-48,,10,9,-17,-40
1443,立益,2020/06,M,-,9,9 9,AP +,+,,,,"-1,010",,7,13,-311,27
1444,力麗,2020/06,M,-,5,6 6,AP,,,,,400,,82,-8,73,71
1445,大宇,2020/06,M,-,6,7 7,AP,,,,,325,,9,-9,100,14
1446,宏和,2020/06,M,-,8,9 9,AP,,,,,-66,,6,-11,,-40
1447,力鵬,2020/06,M,-,5,6 6, P,,,,,380,,87,-12,70,70
1449,佳和,2020/06,M,-,9,9 9,AP +,+,,,,-563,,31,-40,-95,-40
1451,年興,2020/06,M,-,5,6 6,AP,+,,,,374,,61,-15,100,10
1452,宏益,2020/06,M,-,5,6 6,A,,,,,414,,13,14,100,38
1453,大將,2020/06,M,-,7,8 8,AP,,,,,246,,1,-8,100,-40
1454,台富,2020/06,M,-,6,6 6,AP,,,,,376,,11,,100,31
1455,集盛,2020/06,M,-,5,6 6,AP,,,,,395,,64,-13,83,75
1456,怡華,2020/06,M,-,9,9 9, PL,,,,,-507,,10,-3,-143,-40
1457,宜進,2020/06,M,-,7,5 5,A,+,,,+,477,,39,80,41,36
1459,聯發,2020/06,M,-,7,8 8,AP,,,,,228,,31,-15,47,79
1460,宏遠,2020/06,M,-,7,9 9,AP,,,,,7,,70,-21,14,-40
1463,強盛,2020/06,M,-,6,6 5,,,,,,435,,6,33,100,24
1464,得力,2020/06,M,-,6,9 9,AP,+,,,,129,,85,-5,4,13
1465,偉全,2020/06,M,-,6,6 6,AP,+,,,,336,,6,-4,100,27
1466,聚隆,2020/06,M,-,7,7 7,AP,+,,,,274,,20,-7,66,55
1467,南緯,2020/06,M,-,7,9 9,AP +,+,,,,150,,54,-32,54,39
1468,昶和,2020/06,M,-,9,7 7,AP,,,,,253,,11,26,64,-40
1470,大統新創,2020/06,M,-,6,6 6,AP,,,,,411,,5,16,100,44
1471,首利,2020/06,M,-,8,9 9,AP,,,,,154,,6,-46,77,32
1472,三洋紡,2020/06,M,-,9,9 9,AP,+,,,,-593,,4,-60,-98,41
1473,台南,2020/06,M,-,5,6 6,AP,+,,,,407,,49,-9,94,61
1474,弘裕,2020/06,M,-,6,7 7,AP,+,,,,323,,24,3,79,29
1475,業旺,2020/06,M,-,9,8 8,AP,+,,,,240,,,-38,100,12
1476,儒鴻,2020/06,M,-,3,2 1,A,,,,+,854,,127,86,95,56
1477,聚陽,2020/06,M,-,3,2 2,AP,,,,,747,,111,72,82,64
1503,士電,2020/06,M,-,4,2 2,,,,,+,685,,138,45,88,10
1504,東元,2020/06,M,-,4,2 2,,+,,,,705,,140,37,100,13
1506,正道,2020/06,M,-,9,9 9,AP,+,,,,18,,10,-38,49,-30
1507,永大,2020/06,M,-,4,3 3,A,+,,,,608,,102,48,100,-40
1512,瑞利,2020/06,M,-,9,9 9,AP,+,,,,"-1,238",,11,-60,-257,31
1513,中興電,2020/06,M,-,5,6 5,A L,,,,+,467,,102,48,54,-40
1514,亞力,2020/06,M,-,6,5 5,A,+,,,+,470,,43,52,90,-40
1515,力山,2020/06,M,-,5,3 3,A,,,,+,625,,55,58,91,69
1516,川飛,2020/06,F,-,8,5 5,,,,,,493,,4,40,100,67
1517,利奇,2020/06,M,-,6,6 6,AP,+,,,,372,,25,-1,100,21
1519,華城,2020/06,M,-,6,6 6,A,+,,,+,416,,63,29,81,-40
1521,大億,2020/06,M,-,4,5 5,A,+,,,,454,,30,28,85,54
1522,堤維西,2020/06,M,-,5,7 7,AP,,,,,293,,105,3,27,13
1524,耿鼎,2020/06,M,-,7,7 7,AP,,,,,289,,26,10,57,36
1525,江申,2020/06,M,-,6,6 6,AP,+,,,,394,,13,18,85,60
1526,日馳,2020/06,M,-,6,5 4,,,,,,518,,8,88,93,-40
1527,鑽全,2020/06,F,-,6,4 3,A,+,,,,612,,30,68,100,49
1528,恩德,2020/06,M,-,7,8 8,AP,+,,,,220,,33,-6,70,-40
1529,樂士,2020/06,M,-,7,6 6,AP,+,,,,353,,7,15,99,-5
1530,亞崴,2020/06,M,-,6,7 7,AP,,,,,301,,36,12,78,-40
1531,高林股,2020/06,M,-,5,7 7,AP,+,,,,309,,20,-3,100,-40
